statistical	statistikos
care	prižiūrėti
economist	ekonomistas
empty out	ištuštinti
complex	kompleksas
observation	stebėjimas
conference	konferencija
fantasy	fantazija
toilet	tualetas
skill	įgūdžių
regional	regioninis
reputation	reputacija
proposed	siūloma
asset	turtas
so-called	vadinamasis
opera	operos
pond	tvenkinys
keep down	numalšinti
used	naudojamas
entrepreneur	verslininkas
branch	filialas
halfway	pusiaukelėje
contribute	prisidėti
mix up	sumaišyti
tolerance	tolerancija
complete	užbaigti
prepare	pasiruošti
tongue	liežuvis
production	gamyba
timber	mediena
song	daina
icon	piktograma
million	milijonas
contractor	rangovas
outside	išorėje
core	branduolys
shadow	šešėlis
recipient	gavėjas
enroll	užsiregistruoti
abortion	abortas
overwhelm	užvaldyti
enable	įjungti
evaluation	vertinimas
back down	atsitraukti
community	bendruomenei
dog	šuo
painful	skausmingas
object	objektas
come down	nusileisti
midst	viduryje
proud	didžiuojasi
diplomatic	diplomatinė
bay	įlanka
hers	jos
son	sūnus
opposite	priešingas
legitimate	teisėtas
specifically	konkrečiai
oppose	prieštarauja
pin	kaištis
alike	panašūs
honestly	sąžiningai
cheek	skruostas
developing	plėtoti
large	didelis
legally	teisėtai
describe	apibūdinti
impress	nustebinti
slow	lėtai
distance	atstumas
earnings	uždarbis
affair	reikalas
habitat	buveinės
commitment	įsipareigojimas
frontier	pasienis
cheat	apgauti
prosecution	baudžiamasis persekiojimas
plead	prašyti
suffer	kentėti
universal	universalus
constitutional	konstitucinis
dominate	dominuojti
box	dėžė
brush	šepetys
isolated	izoliuotas
utilize	panaudoti
variation	variacija
ocean	vandenynas
franchise	franšizė
college	kolegija
conduct	elgesys
authorize	leisti
soak	mirkyti
hot	karšta
edition	leidimas
threaten	grasinti
peasant	valstietis
invite	pakviesti
beer	alus
still	vis dar
protective	apsauginė
poverty	skurdas
gas	dujos
philosophy	filosofija
motive	motyvas
instantly	iš karto
nail	vinis
persist	išlieka
custody	globa
imply	reikšti
interpret	interpretuoti
gasoline	benzinas
scheme	schema
sandwich	sumuštinias
insert	įdėti
organize	organizuoti
limb	galūnė
muscle	raumenys
exam	egzaminas
guarantee	garantuoti
unfold	atsiskleisti
restaurant	restoranas
fuel	kuras
others	kiti
whenever	kada
proportion	proporcingai
undermine	pakenkti
significance	reikšmę
fucking	sušikti
bomb	bomba
medicine	medicina
remind	priminti
apparent	akivaizdus
stair	laiptas
phone	telefonas
arrival	atvykimas
transmit	perduoti
housing	būstas
freak out	išsigąsti
wolf	vilkas
mainstream	pagrindinė
dad	tėtis
neutral	neutralus
goal	tikslas
northeast	į šiaurės rytus
other	kita
high-tech	aukštųjų technologijų
conception	koncepcija
compensation	kompensacija
primary	pirminė
all	visi
salad	salotos
end up	pabaigti
supermarket	prekybos centras
preach	skelbkite
instead	vietoj to
spin	nugara
partial	dalinis
sacred	šventa
accusation	kaltinimas
hidden	paslėptas
refugee	pabėgėlis
olympics	olimpinės žaidynės
ladder	kopėčios
sustainable	tvarus
but	bet
think	galvoti
chinese	kinų
busy	užsiėmęs
recommendation	rekomendacija
furniture	baldai
myself	aš pats
sweet	saldus
ceremonies	cemenonijos
victim	auka
value	vertė
effective	veiksmingas
southeast	į pietryčius
developmental	vystymosi
mutual	tarpusavio
retire	išeiti į pensiją
goat	ožka
killing	žudymas
significant	reikšmingas
happiness	laimė
clip	klipas
effectively	veiksmingai
ride	važiuoti
tear	ašara
do	daryti
wooden	medinis
shut up	užsičiaupti
marker	žymeklis
defender	gynėjas
memory	atminties
how	kaip
military	karinis
devil	velnias
heritage	paveldas
another	kitą
hip	klubas
scandal	skandalas
curtain	užuolaida
romance	romantika
fire	ugnis
stop off	apsistoti
triumph	triumfas
grape	vynuogė
continued	tęsiamas
hurricane	uraganas
retain	išlaikyti
sexuality	seksualumas
correspondent	korespondentas
committee	komitetui
deal	spręsti
diplomat	diplomatas
budget	biudžeto
playoff	atkūrimo
cottage	kotedžas
check out	išsiregistruoti
product	produktas
economy	ekonomika
wash up	nusiprausti
reliable	patikimas
chapter	skyriuje
bankruptcy	bankrotas
level	lygis
long-term	ilgas terminas
various	įvairūs
sex	seksas
drink	gerti
metaphor	metafora
above	virš
hide	paslėpti
award	apdovanojimas
ingredient	ingredientas
incentive	paskata
criteria	kriterijai
work in	įterpti
lamp	lempa
feel	jausti
employ	įdarbinti
collector	surinkėjas
justice	teisingumas
electronics	elektronika
solution	sprendimas
shelf	lentyna
pitcher	ąsotis
thread	siūlai
lemon	citrina
favorable	palanki
rabbit	triušis
artificial	dirbtinis
comfortable	patogus
unfortunately	deja
spring	pavasaris
traditional	tradicinis
indication	indikacija
appointment	paskyrimas
counselor	patarėjas
script	scenarijus
door	durys
treaty	sutartis
tragic	tragiška
cool off	atvėsinkite
which	kuris
weaken	susilpninti
o'clock	valandą
collaboration	bendradarbiavimą
imagine	įsivaizduokite
spiritual	dvasinis
compete	konkuruoti
today	šiandien
immediate	nedelsiant
depth	gylis
seal	antspaudas
send	siųsti
wrap	suvynioti
preparation	paruošimas
radical	radikaliai
confirm	patvirtinti
commissioner	komisijos narys
update	atnaujinti
grave	kapas
drop	lašas
doll	lėlė
appreciation	dėkingingumas
similar	panašus
video	vaizdo įrašas
brutal	žiauriai
abstract	abstraktus
visitor	lankytojas
carpet	kilimas
tremendous	didžiulis
ethics	etika
clearly	aiškiai
subsequent	vėliau
concentrate	koncentratas
experience	patirtis
herb	žolelė
neat	tvarkingas
protocol	protokolas
contest	konkursas
edge	kraštas
dining	pietauti
heat up	užkaisti
bacteria	bakterijų
lighten up	nušviesti
trust	pasitikėjimas
hour	valanda
that	kad
teammate	komandos draugas
astronomer	astronomas
visible	matomas
destroy	sunaikinti
whom	kam
anonymous	anoniminis
image	vaizdą
wild	laukiniai
company	įmonė
who	kas
support	parama
request	prašymas
demand	paklausa
devote	skirti
gold	auksas
behind	atsilikti
provision	nuostata
fiber	pluošto
strike	streikas
compromise	kompromisas
remove	pašalinti
prayer	malda
distinctive	skiriamasis
provided	jeigu
fixed	fiksuotas
gate	vartai
self-esteem	savigarba
define	apibrėžti
avoid	vengti
encounter	susidurti
follow	sekti
black	juoda
extent	mastu
musician	muzikantas
stomach	skrandis
accessible	prieinamas
comparable	palyginamas
editor	redaktorius
basement	rūsys
collect	rinktis
timing	laikas
bishop	vyskupas
crush	sutraiškyti
need	reikia
otherwise	kitaip
sleeve	rankovė
outsider	pašalinis
violate	pažeisti
influential	įtakingas
meanwhile	tuo tarpu
safe	saugus
imagination	vaizduotė
substance	medžiagos
youth	jaunimas
integration	integracija
participation	dalyvavimas
cluster	klasteris
technical	techninis
kick out	išspirti
nobody	niekas
clinical	klinikiniai
charity	labdara
whale	banginis
fundamental	esminis
sixth	šešta
share	dalintis
funny	juokinga
cruel	žiaurus
store	saugoti
secular	pasaulietinė
young	jauni
favorite	mėgstamiausias
condemn	pasmerkti
married	vedęs
background	fonas
shooting	šaudymas
climb	lipti
discourse	diskursas
impossible	neįmanomas
prison	kalėjimas
complain	skundžiasi
action	veiksmas
professional	profesionalus
airplane	lėktuvas
frustrate	ardyti
diagnosis	diagnozė
penalty	bauda
sunlight	saulės šviesa
wheelchair	neįgaliųjų vežimėlis
introduction	įvadas
certain	tam tikras
impulse	impulsas
perspective	perspektyva
prompt	greitai
tv	televizorius
neighborhood	kaimynystėje
let in	įleisti
disability	negalios
across	visoje
advertising	reklama
believe in	tikėti
tight	ankštus
dancing	šokiai
protein	baltymas
fast	greitas
defend	ginti
legend	legenda
quietly	tyliai
white	balta
energy	energijos
puzzle	galvosūkis
coffee	kava
weekend	savaitgalį
drain	nutekėjimas
facilitate	palengvinti
highlight	pabrėžti
cry	verkti
fifty	penkiasdešimt
substantially	iš esmės
hat	skrybėlę
fraction	frakcija
ball	kamuolys
cat	katė
dozen	dešimtys
trash	šiukšliadėžė
punch out	išmušti
university	universitete
surprised	nustebintas
content	turinys
quarter	ketvirtis
discover	atrasti
city	miestas
here	čia
fog	rūkas
medium	terpėje
household	namų ūkis
sell out	parduoti
corporate	bendras
buy	pirkti
extreme	ekstremalus
drop out	iškristi
sympathy	užuojauta
straighten out	ištiesinti
required	reikalaujama
wash off	nuplauti
isolate	izoliuoti
reply	atsakymas
donation	donorystė
plus	plius
mechanic	mechanikas
stimulate	skatinti
intend	ketina
hay	šieno
hook	kablys
existence	egzistavimas
aggression	agresija
singer	dainininkė
elephant	dramblys
insurance	draudimas
sheer	grynas
bug	klaida
carbohydrate	angliavandeniai
tire	padanga
prevail	vyrauti
difference	skirtumas
beach	papludimys
fish	žuvis
enormous	milžiniškas
surprising	stebina
prescription	receptas
forgive	atleisk
episode	epizodas
celebration	šventė
studio	studija
location	vieta
eager	norėti
tumor	navikas
ogress	pabaisa
chin	smakras
ill	nesveikas
aid	pagalba
employer	darbdavys
wonder	stebėtis
diagnose	diagnozuoti
biology	biologija
hand out	išduoti
skilled	kvalifikuoti
romantic	romantiškas
cope	susidoroti
hunger	badas
multiple	daugkartinis
endless	begalinis
middle-class	vidurinė klasė
forget	pamiršti
wear	dėvėti
dispute	ginčas
purple	violetinė
recent	neseniai
report	ataskaita
bone	kaulas
implement	įgyvendinti
cup	puodelis
clay	molis
crucial	labai svarbu
speed	greitis
fence	tvora
double	dvigubai
while	kol
independence	nepriklausomybė
component	komponentas
title	pavadinimas
this	tai
fatal	mirtinas
lucky	pasisekė
for	tam
alone	vien tik
occasional	retkarčiais
you	tas
filter	filtras
forever	amžinai
bank	bankas
believe	tikėki
message	pranešimas
fewer	mažiau
disturbing	sutrikdantis
wire	viela
train	traukinys
accommodate	prisitaikyti
attend	dalyvauti
ticket	bilietas
cocaine	kokainas
arm	ranka
mystery	paslaptis
lock up	užrakinti
heel	kgyti
ally	sąjungininkas
council	taryba
damn	prakeiktas
terror	teroras
drama	drama
touch	paliesti
tomorrow	rytoj
mother	motina
government	vyriausybė
authority	institucija
instructor	instruktorius
baseball	beisbolas
specific	specifinis
ring	žiedas
pound	svaras
powder	milteliai
damage	žala
importance	svarba
worth	verta
instruction	instrukcija
